,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Windspeed,Max Temp
0,fare,16,PF,2019-06-06 13:34:33,80,-16.7,-151.02,16.4,81.23
1,clyde river,75,CA,2019-06-06 13:34:34,51,70.47,-68.59,2.24,39.2
2,ginda,75,IN,2019-06-06 13:34:34,54,30.69,78.49,10.29,82.4
3,dikson,5,RU,2019-06-06 13:34:34,88,73.51,80.55,2.68,32.09
5,ushuaia,40,AR,2019-06-06 13:30:37,87,-54.81,-68.31,17.22,37.87
6,port hardy,75,CA,2019-06-06 13:34:34,93,50.7,-127.42,3.36,46.4
7,kahului,1,US,2019-06-06 13:30:06,78,20.89,-156.47,6.93,73.69
8,altamira,75,BR,2019-06-06 13:34:34,74,-3.2,-52.21,8.05,86
9,eydhafushi,100,MV,2019-06-06 13:34:34,78,5.1,73.07,16.62,84.11
10,lebu,98,ET,2019-06-06 13:34:35,56,8.96,38.73,2.21,68.63
11,vaini,20,IN,2019-06-06 13:34:35,45,15.34,74.49,10.29,87.8
12,port alfred,13,ZA,2019-06-06 13:34:35,62,-33.59,26.89,8.99,57.99
13,nikolskoye,40,RU,2019-06-06 13:34:35,35,59.7,30.79,6.71,82.15
15,bluff,100,AU,2019-06-06 13:34:35,63,-23.58,149.07,11.83,57.83
16,rocha,52,UY,2019-06-06 13:34:26,67,-34.48,-54.34,14.25,63.23
17,huadian,100,CN,2019-06-06 13:34:35,65,42.97,126.75,4.72,61.07
18,punta arenas,40,CL,2019-06-06 13:34:36,86,-53.16,-70.91,19.46,38.52
19,guerrero negro,72,MX,2019-06-06 13:34:36,88,27.97,-114.04,6.08,62.51
20,santa lucia,5,IT,2019-06-06 13:34:36,73,39.93,9.66,16.11,75.85
21,porto novo,40,BR,2019-06-06 13:34:37,63,-23.68,-45.44,5.82,66.2
23,barrow,100,AR,2019-06-06 13:34:37,68,-38.31,-60.23,7.78,60.71
24,albany,75,US,2019-06-06 13:34:37,77,42.65,-73.75,9.17,64.8
25,naklo nad notecia,0,PL,2019-06-06 13:34:37,32,53.14,17.6,16.11,84.36
26,kotka,0,FI,2019-06-06 13:34:37,37,60.47,26.95,10.29,82.4
27,kirkland lake,1,CA,2019-06-06 13:34:38,57,48.15,-80.03,4.7,50
28,upernavik,55,GL,2019-06-06 13:34:38,84,72.79,-56.15,8.14,34.25
30,rikitea,51,PF,2019-06-06 13:34:38,77,-23.12,-134.97,17.72,73.85
31,yilan,75,TW,2019-06-06 13:34:38,79,24.75,121.75,2.24,83.68
32,atuona,80,PF,2019-06-06 13:34:38,78,-9.8,-139.03,19.39,81.77
33,grindavik,0,IS,2019-06-06 13:34:38,57,63.84,-22.43,24.16,52.75
35,nemuro,0,JP,2019-06-06 13:34:38,88,43.32,145.57,3.47,46.85
36,busselton,100,AU,2019-06-06 13:34:38,48,-33.64,115.35,49.15,51.3
37,coihaique,40,CL,2019-06-06 13:34:39,86,-45.58,-72.07,3.36,38.66
38,zhoucheng,0,CN,2019-06-06 13:34:39,78,31.35,119.33,6.71,71.6
39,nadym,93,RU,2019-06-06 13:34:39,41,65.53,72.51,6.76,64.31
41,pangkalanbuun,75,ID,2019-06-06 13:30:22,98,-2.68,111.62,1.7,75.83
43,castro,75,CL,2019-06-06 13:34:39,93,-42.48,-73.76,4.7,44.6
44,malayal,75,PH,2019-06-06 13:34:40,88,7.21,121.94,4.7,82.4
45,hermanus,5,ZA,2019-06-06 13:34:40,60,-34.42,19.24,4,60.21
46,lorengau,100,PG,2019-06-06 13:34:40,90,-2.02,147.27,5.91,78.89
49,sao gabriel da cachoeira,75,BR,2019-06-06 13:34:40,88,-0.13,-67.09,2.24,77
50,qaanaaq,99,GL,2019-06-06 13:34:40,77,77.48,-69.36,3.76,31.55
51,new norfolk,0,AU,2019-06-06 13:34:40,62,-42.78,147.06,14.99,51.76
52,bredasdorp,0,ZA,2019-06-06 13:34:40,48,-34.53,20.04,12.75,59.14
53,otjimbingwe,0,NA,2019-06-06 13:34:40,8,-22.35,16.13,3.78,81.59
54,shakawe,0,BW,2019-06-06 13:34:41,13,-18.36,21.84,5.64,82.31
55,mount isa,0,AU,2019-06-06 13:34:41,33,-20.73,139.49,11.41,57.2
56,yellowknife,75,CA,2019-06-06 13:34:41,64,62.45,-114.38,13.87,37.18
57,sao filipe,0,CV,2019-06-06 13:34:41,81,14.9,-24.5,17.6,74.57
58,gornopravdinsk,100,RU,2019-06-06 13:34:41,45,60.06,69.92,7.47,66.47
59,jiayuguan,100,CN,2019-06-06 13:34:41,29,39.77,98.29,7.11,69.17
60,faanui,14,PF,2019-06-06 13:34:41,78,-16.48,-151.75,16.71,82.13
61,souillac,75,FR,2019-06-06 13:34:41,55,45.6,-0.6,12.75,67.24
62,butaritari,54,KI,2019-06-06 13:34:42,81,3.07,172.79,14.07,84.29
63,alibag,75,IN,2019-06-06 13:34:42,74,18.64,72.88,10.29,88.7
64,brigham city,1,US,2019-06-06 13:34:42,76,41.51,-112.02,4.7,60.17
65,tinskoy,0,RU,2019-06-06 13:34:42,53,56.15,96.92,5.32,59.09
66,arica,90,CL,2019-06-06 13:34:42,72,-18.48,-70.32,4.52,58.71
67,maceio,75,BR,2019-06-06 13:34:42,61,-9.67,-35.74,6.93,80.6
68,hobart,0,AU,2019-06-06 13:34:42,62,-42.88,147.33,14.99,51.76
69,jamestown,0,AU,2019-06-06 13:34:43,72,-33.21,138.6,7.36,46.13
70,moree,0,AU,2019-06-06 13:34:43,65,-29.46,149.84,4.7,44.6
72,asahikawa,100,JP,2019-06-06 13:31:58,95,43.76,142.37,2.24,50.27
73,tiksi,15,RU,2019-06-06 13:34:43,82,71.64,128.87,3.38,28.31
75,ilulissat,75,GL,2019-06-06 13:34:43,39,69.22,-51.1,4.7,46.4
76,rawson,0,AR,2019-06-06 13:34:43,42,-43.3,-65.11,28.9,55.67
77,flinders,0,AU,2019-06-06 13:34:44,87,-34.58,150.85,6.93,54.97
79,bontoc,97,PH,2019-06-06 13:34:44,80,17.09,120.98,3.24,78.71
80,provideniya,100,RU,2019-06-06 13:34:44,94,64.42,-173.23,3.56,39.47
81,bonthe,98,SL,2019-06-06 13:34:44,73,7.53,-12.5,9.51,83.75
82,mataura,100,NZ,2019-06-06 13:34:44,85,-46.19,168.86,10.13,45.95
83,cape town,20,ZA,2019-06-06 13:34:23,47,-33.93,18.42,6.93,60.13
85,yenagoa,100,NG,2019-06-06 13:34:44,94,4.92,6.26,6.4,75.83
87,rio gallegos,0,AR,2019-06-06 13:31:58,80,-51.62,-69.22,12.75,35.6
88,jaitaran,15,IN,2019-06-06 13:34:44,13,26.2,73.94,6.62,106.43
89,temyasovo,40,RU,2019-06-06 13:34:45,55,52.99,58.1,15.66,66.2
90,lompoc,90,US,2019-06-06 13:34:45,93,34.64,-120.46,2.71,55.27
91,kapaa,90,US,2019-06-06 13:34:45,94,22.08,-159.32,14.99,75.13
92,khasan,95,RU,2019-06-06 13:34:45,94,42.43,130.64,2.66,57.11
93,kruisfontein,1,ZA,2019-06-06 13:34:45,63,-34,24.73,14.79,51.17
94,lucapa,43,AO,2019-06-06 13:34:45,18,-8.42,20.74,6.26,86.81
96,kavieng,65,PG,2019-06-06 13:34:45,75,-2.57,150.8,8.7,83.21
97,saint-philippe,1,CA,2019-06-06 13:34:45,59,45.36,-73.48,11.41,61.99
98,chicama,90,PE,2019-06-06 13:34:46,88,-7.84,-79.15,3.36,66.2
99,port lincoln,0,AU,2019-06-06 13:34:46,69,-34.72,135.86,12.21,57.83
100,husavik,49,CA,2019-06-06 13:34:46,62,50.56,-96.99,5.99,63.54
101,avarua,76,CK,2019-06-06 13:34:46,78,-21.21,-159.78,5.82,75.2
102,aviles,20,ES,2019-06-06 13:34:46,40,43.55,-5.92,13.87,66.61
103,daru,77,SL,2019-06-06 13:34:46,69,7.99,-10.85,4.18,85.55
105,coahuayana,100,MX,2019-06-06 13:34:46,64,18.62,-100.35,1.68,81.41
106,russkiy aktash,40,RU,2019-06-06 13:34:46,46,55.04,52.12,8.95,73.4
107,saryozek,100,KZ,2019-06-06 13:32:10,80,44.36,77.98,18.41,62.15
108,puerto madryn,0,AR,2019-06-06 13:34:08,34,-42.77,-65.04,25.48,58.55
109,chokurdakh,8,RU,2019-06-06 13:34:47,62,70.62,147.9,5.1,37.49
