,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Windspeed,Max Temp
0,victoria,75,BN,1560865149,79,5.28,115.24,3.36,84.07
1,carnarvon,98,ZA,1560865351,27,-30.97,22.13,9.62,63.52
2,qui nhon,,,,,,,,
3,rikitea,0,PF,1560865350,68,-23.12,-134.97,23.82,70.9
4,albany,90,US,1560865350,77,42.65,-73.75,0.45,63.55
5,lagoa,75,PT,1560865362,78,37.14,-8.45,11.41,70.36
6,nanortalik,92,GL,1560865395,85,60.14,-45.24,4.81,35.26
7,belushya guba,,,,,,,,
8,busselton,0,AU,1560865359,64,-33.64,115.35,5.57,45.01
9,broken hill,99,AU,1560865360,55,-31.97,141.45,4.7,42.8
10,naze,63,NG,1560865408,70,5.43,7.07,5.26,85.12
11,san patricio,0,PY,1560865353,74,-26.98,-56.83,6.02,74.32
12,atuona,0,PF,1560865359,78,-9.8,-139.03,19.44,80.62
13,butaritari,100,KI,1560865363,79,3.07,172.79,11.12,82.96
14,chokurdakh,6,RU,1560865367,81,70.62,147.9,9.78,42.28
15,nikolskoye,0,RU,1560865379,47,59.7,30.79,20.13,76.15
16,souillac,0,FR,1560865352,42,45.6,-0.6,9.17,85.3
17,quimper,0,FR,1560865739,73,48,-4.1,5.82,68.54
18,blackwater,100,GB,1560865740,82,51.33,-0.78,4.7,63.64
19,samusu,,,,,,,,
20,iqaluit,40,CA,1560865134,87,63.75,-68.52,3.36,42.39
21,vaini,75,IN,1560865351,78,15.34,74.49,10.29,78.8
22,hobart,75,AU,1560865140,75,-42.88,147.33,17.22,44.55
23,khatanga,87,RU,1560865352,77,71.98,102.47,22.5,52.36
24,mandapam,100,IN,1560865740,71,9.28,79.12,12.91,88.36
25,longyearbyen,20,NO,1560865390,56,78.22,15.63,5.82,44.6
26,ilulissat,75,GL,1560865384,65,69.22,-51.1,2.24,46.4
27,santa marinella,0,IT,1560865740,69,42.04,11.87,10.29,83.32
28,hilo,75,US,1560865351,88,19.71,-155.08,3.36,70.77
29,ancud,90,CL,1560865402,100,-41.87,-73.83,2.24,42.8
30,dingle,0,PH,1560865422,82,11,122.67,3.29,77.2
31,cherskiy,100,RU,1560865353,51,68.75,161.3,8.57,59.92
32,axim,5,GH,1560865396,78,4.87,-2.24,10.98,80.62
33,mar del plata,67,AR,1560865378,50,-46.43,-67.52,16.53,44.62
34,bandundu,0,CD,1560865740,29,-3.32,17.38,3.29,93.94
35,yellowknife,75,CA,1560865361,77,62.45,-114.38,10.29,62.29
36,veraval,0,FR,1560865740,61,49.65,0.71,8.05,76.69
37,chuy,50,UY,1560865393,83,-33.69,-53.46,10.13,66.4
38,altay,0,CN,1560865741,68,47.83,88.13,3.38,49.84
39,colac,5,AU,1560865741,95,-38.34,143.59,2.04,41.02
40,tasiilaq,20,GL,1560865355,61,65.61,-37.64,9.17,46.4
41,hofn,100,IS,1560865378,90,64.25,-15.21,18.43,33.82
42,mataura,70,NZ,1560865350,92,-46.19,168.86,5.3,35.8
43,denpasar,20,ID,1560865741,88,-8.65,115.22,10.29,74.53
44,port alfred,0,ZA,1560865359,90,-33.59,26.89,5.99,66
45,saint-philippe,1,CA,1560865357,52,45.36,-73.48,2.24,68.76
46,roald,40,NO,1560865361,59,62.58,6.12,13.87,58.19
